StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID,HospitalisedAged65to74,HospitalisedAged75to84,HospitalisedAged85up,Aged65to74,Aged75to84,Aged85up
23/03/2020,1149,316,59,304,63,2,3,16,40,31,57,53,114,634,515,0,5,19,91,227,213,227,161,206,46,0,0,0,24,43,46,25,83,78,45
24/03/2020,1369,362,68,341,66,2,3,16,41,33,66,62,139,747,622,0,8,21,108,264,246,279,193,250,48,0,0,0,25,55,55,29,108,90,52
25/03/2020,1617,434,77,402,79,3,4,17,46,44,71,73,176,867,750,0,10,24,120,309,303,316,230,303,47,0,0,0,26,68,69,39,131,108,64
26/03/2020,1879,524,94,490,91,3,4,19,50,50,88,83,227,1002,877,0,14,24,133,357,351,364,266,368,48,0,0,0,27,88,91,48,158,134,76
27/03/2020,2188,615,112,612,103,4,5,20,59,58,106,97,266,1136,1052,0,15,27,152,406,414,428,309,435,47,0,0,0,28,107,107,52,191,160,84
28/03/2020,2446,703,125,678,111,4,5,22,66,68,115,112,310,1240,1206,0,15,27,168,446,463,463,356,505,50,0,0,0,29,114,133,63,209,197,99
29/03/2020,2640,759,136,756,118,5,5,22,67,70,126,122,341,1318,1322,0,17,28,175,474,495,499,394,555,50,0,0,0,30,124,144,73,228,211,116
30/03/2020,2943,859,149,847,134,6,5,25,71,77,140,136,398,1450,1493,0,19,28,190,513,541,553,436,660,54,0,0,0,31,143,173,82,260,260,140
31/03/2020,3233,940,164,960,160,6,5,27,76,86,152,148,439,1568,1665,0,19,29,211,558,607,603,475,727,47,0,0,0,32,156,193,90,281,290,156
01/04/2020,3599,1059,182,1112,171,6,5,30,81,101,165,166,504,1745,1854,0,20,29,229,612,675,685,530,815,49,0,0,0,33,182,219,103,317,322,176
02/04/2020,3959,1150,197,1262,206,6,5,31,83,106,182,180,556,1896,2063,0,21,32,249,670,742,759,577,905,49,0,0,0,34,199,243,114,347,358,200
03/04/2020,4386,1253,211,1419,236,7,5,31,89,112,191,197,620,2065,2321,0,24,34,264,739,799,823,640,1059,55,0,0,0,35,219,264,137,396,406,257
04/04/2020,4849,1348,217,1627,260,7,5,31,96,119,202,208,679,2226,2623,0,24,35,281,808,892,901,688,1214,51,0,0,0,36,239,292,148,438,468,308
05/04/2020,5526,1423,226,1786,270,7,5,31,100,126,212,221,720,2581,2945,0,30,38,341,935,1037,1041,786,1312,44,0,0,0,37,252,312,156,481,506,325
06/04/2020,5911,1518,239,1899,299,7,5,31,103,133,230,234,774,2752,3159,0,30,41,358,997,1104,1110,837,1428,52,0,0,0,38,272,327,175,520,546,362
07/04/2020,6375,1571,247,2121,317,9,5,32,105,135,239,242,803,2930,3445,0,33,43,378,1089,1167,1212,913,1534,49,0,0,0,39,279,340,184,546,589,399
08/04/2020,6988,1683,267,2372,339,11,5,33,112,143,255,264,859,3191,3797,0,36,45,416,1204,1294,1329,1002,1656,46,0,0,0,40,296,360,203,587,629,440
09/04/2020,7686,1772,279,2634,356,12,5,35,115,148,261,279,916,3464,4222,0,39,52,464,1322,1405,1466,1124,1808,49,0,0,0,41,318,383,215,648,678,482
10/04/2020,8391,1833,290,2909,382,12,5,38,119,150,272,289,947,3763,4628,0,44,56,518,1461,1545,1594,1237,1930,45,0,0,0,42,324,397,226,684,721,525
11/04/2020,9360,1907,299,3244,401,13,5,38,121,156,282,298,993,4208,5152,0,47,67,585,1628,1737,1793,1396,2100,46,0,0,0,43,344,413,236,762,771,567
12/04/2020,10253,1964,307,3480,408,13,5,39,125,162,289,305,1025,4596,5657,0,54,80,664,1786,1905,1962,1508,2287,46,0,0,0,44,347,428,250,811,843,633
13/04/2020,11119,2022,311,3671,413,14,5,39,127,170,299,308,1059,4993,6126,0,59,94,727,1927,2059,2133,1621,2492,48,0,0,0,45,359,444,256,874,911,707
14/04/2020,12249,2084,316,3927,425,14,5,40,129,173,304,318,1100,5493,6756,0,70,122,798,2119,2285,2363,1782,2703,46,0,0,0,46,373,457,270,946,971,786
15/04/2020,12829,2141,324,4137,436,14,6,42,132,180,309,326,1131,5732,7097,0,70,134,835,2202,2384,2468,1875,2853,50,0,0,0,47,383,470,278,986,1022,845
16/04/2020,13550,2234,332,4411,454,14,7,44,136,185,323,340,1184,6005,7545,0,75,140,882,2300,2490,2625,1982,3048,51,0,0,0,48,408,489,287,1045,1089,914
17/04/2020,14403,2302,338,4682,472,14,8,47,140,189,332,352,1219,6355,8048,0,77,152,943,2440,2628,2790,2092,3272,49,0,0,0,49,424,498,297,1109,1166,997
18/04/2020,14958,2339,339,4871,478,14,8,48,144,192,335,356,1241,6549,8409,0,81,159,989,2526,2710,2909,2152,3423,49,0,0,0,50,430,509,302,1145,1211,1067
19/04/2020,15224,2371,340,4943,491,14,8,48,145,197,339,356,1263,6644,8580,0,81,159,999,2550,2746,2937,2173,3570,77,0,0,0,51,438,517,308,1165,1268,1137
20/04/2020,15619,2413,346,5053,507,14,8,49,147,199,340,365,1290,6804,8815,0,85,166,1029,2603,2805,2999,2217,3706,53,0,0,0,52,445,530,315,1196,1309,1201
21/04/2020,16129,2454,354,5237,522,14,8,49,148,204,344,373,1313,6978,9151,0,86,170,1058,2667,2881,3078,2271,3909,55,0,0,0,53,453,539,321,1232,1377,1300
22/04/2020,17075,2509,362,5565,548,14,8,51,153,211,353,377,1341,7316,9759,0,89,173,1117,2788,2990,3229,2365,4315,59,0,0,0,54,460,558,323,1303,1521,1491
23/04/2020,17612,2556,367,5747,567,14,8,51,153,214,358,384,1373,7507,10105,0,90,177,1149,2854,3066,3299,2415,4553,58,0,0,0,55,469,572,332,1345,1617,1591
24/04/2020,18061,2598,376,5928,601,14,8,51,153,217,361,394,1399,7644,10417,0,90,180,1180,2927,3128,3354,2466,4727,55,0,0,0,56,471,584,344,1370,1672,1685
25/04/2020,18725,2644,379,6125,604,14,8,52,157,220,369,398,1425,7907,10818,0,94,187,1225,3018,3232,3476,2517,4967,51,0,0,0,57,479,591,355,1424,1762,1781
26/04/2020,19124,2685,381,6252,608,14,8,53,157,222,370,406,1454,8051,11073,0,95,192,1258,3066,3285,3525,2553,5141,57,0,0,0,58,482,600,372,1447,1821,1873
27/04/2020,19491,2723,383,6382,620,15,8,53,164,226,371,410,1475,8206,11285,0,97,196,1291,3123,3348,3589,2589,5249,49,0,0,0,59,484,613,378,1460,1866,1923
28/04/2020,19857,2754,386,6523,630,15,8,53,165,228,376,411,1497,8336,11521,0,98,200,1319,3174,3409,3653,2633,5362,50,0,0,0,60,497,616,384,1490,1901,1971
29/04/2020,20253,2806,389,6637,646,16,9,55,169,229,380,416,1531,8521,11732,0,100,205,1357,3246,3463,3708,2673,5491,50,0,0,0,61,507,629,395,1521,1948,2022
30/04/2020,20524,2827,390,6729,676,16,9,55,170,229,383,419,1545,8627,11897,0,100,206,1378,3292,3507,3759,2705,5567,51,0,0,0,62,514,632,399,1540,1973,2054
01/05/2020,20875,2870,392,6843,694,18,12,56,170,231,391,425,1566,8781,12094,0,107,215,1415,3352,3566,3819,2743,5648,45,0,0,0,63,516,642,408,1558,2005,2085
02/05/2020,21258,2890,392,6950,703,18,13,56,172,234,394,427,1575,8993,12264,1,109,223,1458,3443,3644,3880,2790,5701,40,0,0,0,64,518,647,410,1574,2021,2106
03/05/2020,21463,2913,395,7007,706,18,14,58,174,238,397,429,1584,9095,12367,1,110,230,1473,3479,3690,3914,2818,5738,44,0,0,0,65,518,652,414,1585,2035,2118
04/05/2020,21712,2927,397,7070,710,18,14,59,174,238,400,430,1593,9226,12485,1,113,236,1493,3537,3742,3958,2841,5781,41,0,0,0,66,521,657,415,1598,2054,2129
05/05/2020,21993,2947,401,7151,733,18,15,63,174,240,400,433,1603,9371,12621,1,116,240,1529,3598,3807,4000,2872,5820,39,0,0,0,67,524,660,419,1608,2067,2145
06/05/2020,22130,2969,404,7211,737,18,17,63,174,240,401,437,1618,9427,12701,2,116,242,1541,3616,3829,4035,2891,5848,49,0,0,0,68,529,666,423,1617,2077,2154
07/05/2020,22316,2985,404,7271,746,18,17,63,175,240,402,439,1630,9505,12809,2,116,244,1562,3653,3866,4056,2913,5894,44,0,0,0,69,534,671,425,1633,2093,2168
08/05/2020,22474,3008,406,7337,750,18,17,63,177,242,406,440,1644,9570,12902,2,118,250,1576,3684,3892,4078,2931,5933,45,0,0,0,70,539,676,429,1646,2110,2177
09/05/2020,22735,3025,407,7453,755,19,17,64,178,242,407,441,1656,9662,13071,2,120,257,1597,3727,3943,4121,2968,5990,46,0,0,0,71,541,682,433,1662,2129,2199
10/05/2020,22916,3036,408,7510,759,19,17,64,178,242,408,442,1665,9734,13180,2,120,259,1616,3757,3971,4146,2993,6042,50,0,0,0,72,543,686,436,1673,2144,2225
11/05/2020,23001,3050,408,7534,766,19,17,64,181,243,410,442,1673,9770,13229,2,121,262,1625,3775,3987,4162,2998,6059,41,0,0,0,73,546,690,437,1681,2149,2229
12/05/2020,23125,3059,411,7577,766,19,17,64,182,244,410,447,1675,9831,13292,2,124,265,1635,3803,4008,4178,3014,6086,43,0,0,0,74,546,692,437,1688,2160,2238
13/05/2020,23488,3076,414,7815,781,19,17,64,184,246,412,451,1682,9989,13496,3,127,265,1681,3912,4087,4248,3052,6104,38,0,0,0,75,547,694,441,1695,2167,2242
14/05/2020,23721,3098,415,7881,784,19,17,64,186,250,415,457,1689,10112,13606,3,127,266,1699,3970,4160,4287,3080,6120,40,0,0,0,76,550,697,442,1702,2172,2246
15/05/2020,23826,3105,416,7907,800,19,17,64,186,252,416,457,1693,10171,13652,3,129,269,1709,3993,4187,4304,3084,6139,39,0,0,0,77,551,698,444,1709,2180,2250
16/05/2020,23910,3112,417,7938,805,19,17,64,186,252,416,461,1696,10203,13704,3,131,269,1716,4021,4203,4314,3088,6156,37,0,0,0,78,553,698,445,1714,2184,2258
17/05/2020,24040,3120,418,7975,806,19,17,65,187,252,417,461,1701,10264,13773,3,133,274,1739,4045,4232,4331,3103,6171,39,0,0,0,79,555,699,447,1718,2191,2262
18/05/2020,24082,3133,421,7989,810,19,17,65,188,253,420,462,1708,10279,13800,3,134,276,1744,4049,4242,4339,3107,6179,44,0,0,0,80,558,700,450,1721,2192,2266
19/05/2020,24157,3145,421,8013,814,19,17,65,188,254,422,465,1714,10311,13843,3,136,277,1755,4063,4256,4350,3113,6195,41,0,0,0,81,559,702,453,1725,2198,2272
20/05/2020,24232,3164,425,8036,823,19,17,65,189,254,423,470,1726,10348,13881,3,136,280,1758,4073,4272,4358,3125,6218,55,0,0,0,82,565,707,454,1738,2206,2274
21/05/2020,24327,3179,428,8053,829,19,17,66,189,255,424,471,1737,10387,13937,3,140,287,1764,4090,4288,4379,3129,6238,43,0,0,0,83,568,710,459,1745,2210,2283
22/05/2020,24442,3189,429,8077,844,19,17,66,191,256,426,473,1740,10436,14003,3,144,290,1786,4114,4309,4393,3141,6253,37,0,0,0,84,569,712,459,1748,2215,2290
23/05/2020,24481,3195,429,8087,846,19,17,67,192,257,426,473,1743,10457,14021,3,145,291,1792,4119,4320,4398,3144,6260,42,0,0,0,85,569,715,459,1749,2219,2292
24/05/2020,24521,3199,429,8095,846,19,17,67,192,257,427,473,1746,10482,14036,3,146,293,1797,4122,4323,4409,3149,6270,50,0,0,0,86,570,717,459,1753,2221,2296
25/05/2020,24626,3211,432,8127,846,19,17,67,193,257,429,475,1753,10524,14099,3,147,296,1805,4145,4336,4427,3167,6291,48,0,0,0,87,571,722,460,1758,2235,2298
26/05/2020,24694,3219,433,8155,850,19,17,67,194,257,430,476,1758,10548,14143,3,149,303,1813,4152,4351,4436,3174,6304,42,0,0,0,88,571,724,463,1759,2240,2305
27/05/2020,24734,3222,433,8168,856,19,17,67,194,258,431,476,1759,10563,14168,3,150,304,1816,4159,4358,4444,3178,6313,50,0,0,0,89,571,725,463,1764,2241,2308
28/05/2020,24771,3227,433,8172,861,19,17,67,194,260,431,477,1761,10577,14191,3,152,306,1816,4161,4364,4452,3183,6325,53,0,0,0,90,572,726,463,1765,2247,2313
29/05/2020,24826,3237,433,8189,866,19,17,67,194,261,432,478,1768,10600,14223,3,152,307,1818,4170,4376,4460,3186,6345,49,0,0,0,91,576,727,465,1771,2251,2323
30/05/2020,24892,3239,433,8193,866,19,17,67,194,261,433,478,1769,10642,14247,3,153,308,1825,4182,4391,4473,3193,6355,43,0,0,0,92,577,727,465,1775,2254,2326
31/05/2020,24967,3243,433,8218,867,19,17,68,194,261,434,479,1770,10671,14293,3,155,316,1837,4192,4399,4487,3202,6367,38,0,0,0,93,578,727,465,1780,2254,2333
01/06/2020,24977,3247,433,8219,872,19,17,68,194,261,434,479,1774,10677,14297,3,155,316,1838,4194,4399,4488,3202,6373,65,0,0,0,94,580,728,466,1783,2256,2334
02/06/2020,25017,3258,433,8228,876,19,17,68,194,263,435,481,1780,10693,14321,3,155,318,1839,4196,4408,4496,3210,6383,50,0,0,0,95,582,731,467,1786,2262,2335
03/06/2020,25053,3259,433,8237,880,19,17,68,194,263,435,481,1781,10713,14337,3,157,318,1844,4201,4415,4507,3215,6384,41,0,0,0,96,582,732,467,1786,2263,2335
04/06/2020,25079,3263,433,8243,885,19,17,68,194,263,435,482,1784,10724,14352,3,160,320,1848,4205,4417,4510,3216,6391,35,0,0,0,97,583,733,468,1789,2264,2338
05/06/2020,25101,3266,433,8254,888,19,17,68,194,263,435,483,1786,10732,14366,3,160,320,1852,4210,4421,4514,3217,6395,44,0,0,0,98,583,735,468,1789,2267,2339
06/06/2020,25124,3268,433,8265,891,19,17,68,194,263,436,483,1787,10742,14379,3,160,320,1858,4213,4425,4519,3219,6398,42,0,0,0,99,584,735,468,1790,2268,2340
07/06/2020,25133,3269,433,8269,892,19,17,68,194,264,436,483,1787,10748,14382,3,160,320,1858,4215,4428,4522,3219,6399,43,0,0,0,100,584,735,468,1791,2268,2340
08/06/2020,25142,3271,433,8270,887,19,17,68,194,264,436,484,1788,10755,14384,3,160,320,1860,4215,4429,4524,3222,6400,51,0,0,0,101,584,735,469,1791,2268,2341
09/06/2020,25160,3273,433,8274,901,19,17,68,195,265,436,484,1788,10762,14395,3,161,320,1865,4218,4432,4526,3222,6404,42,0,0,0,102,584,735,469,1791,2269,2344
10/06/2020,25168,3274,433,8275,917,19,17,68,195,265,436,484,1789,10765,14400,3,162,320,1866,4220,4433,4527,3222,6406,44,0,0,0,103,585,735,469,1792,2269,2345
11/06/2020,25181,3275,433,8277,941,19,17,68,195,265,436,484,1790,10768,14410,3,164,320,1867,4222,4433,4528,3222,6413,68,0,0,0,104,586,735,469,1795,2270,2348
12/06/2020,25226,3278,433,8286,970,19,17,68,196,265,436,485,1791,10788,14435,3,166,323,1871,4230,4442,4536,3226,6420,43,0,0,0,105,586,735,470,1796,2274,2350
13/06/2020,25234,3279,433,8288,976,19,17,68,196,265,436,485,1792,10792,14439,3,166,323,1873,4232,4442,4537,3226,6423,43,0,0,0,106,586,736,470,1796,2277,2350
14/06/2020,25252,3280,433,8295,976,20,17,68,196,265,436,485,1792,10799,14450,3,168,324,1874,4233,4445,4541,3229,6426,42,0,0,0,107,586,736,470,1797,2277,2352
15/06/2020,25266,3283,434,8299,981,20,17,68,196,266,437,485,1793,10805,14458,3,169,325,1874,4234,4448,4545,3229,6430,47,0,0,0,108,586,736,471,1797,2278,2355
16/06/2020,25274,3283,434,8301,1005,20,17,68,196,266,437,485,1793,10808,14463,3,169,325,1875,4236,4449,4546,3230,6432,35,0,0,0,109,586,736,471,1798,2279,2355
17/06/2020,25290,3284,434,8308,1031,20,17,68,197,266,437,485,1793,10817,14470,3,169,326,1877,4240,4452,4549,3231,6434,38,0,0,0,110,586,736,471,1798,2281,2355
18/06/2020,25303,3285,434,8310,1033,20,17,68,197,267,437,485,1793,10824,14476,3,169,327,1878,4243,4454,4551,3231,6438,43,0,0,0,111,586,736,471,1799,2281,2358
19/06/2020,25324,3285,434,8315,1036,20,17,68,197,267,437,485,1793,10834,14487,3,169,327,1883,4247,4457,4554,3234,6441,39,0,0,0,112,586,736,471,1801,2282,2358
20/06/2020,25329,3285,434,8315,1069,20,17,68,197,267,437,485,1793,10835,14491,3,169,327,1883,4248,4459,4554,3234,6443,40,0,0,0,113,586,736,471,1801,2282,2360
21/06/2020,25333,3286,434,8317,1100,20,17,68,197,267,438,485,1793,10837,14493,3,169,327,1884,4249,4459,4556,3234,6443,38,0,0,0,114,586,736,471,1801,2282,2360
22/06/2020,25343,3287,434,8319,1212,20,17,68,197,268,438,485,1793,10841,14499,3,169,328,1884,4250,4462,4556,3238,6444,48,0,0,0,115,586,736,471,1801,2282,2361
23/06/2020,25347,3290,434,8320,1321,20,17,68,197,268,438,486,1795,10843,14501,3,169,328,1884,4250,4463,4556,3239,6446,68,0,0,0,116,587,736,472,1802,2282,2362
24/06/2020,25356,3290,434,8321,1339,20,17,68,197,268,438,486,1795,10846,14507,3,169,328,1885,4251,4464,4556,3241,6450,57,0,0,0,117,587,736,472,1802,2284,2364
25/06/2020,25367,3290,434,8323,1339,20,17,68,197,268,438,486,1795,10853,14511,3,169,328,1887,4254,4468,4557,3241,6451,37,0,0,0,118,587,736,472,1803,2284,2364
26/06/2020,25387,3291,434,8333,1339,20,17,68,197,268,439,486,1795,10863,14521,3,169,328,1889,4262,4472,4561,3241,6453,34,0,0,0,119,587,736,472,1803,2285,2365
27/06/2020,25390,3292,434,8333,1429,20,17,69,197,268,439,486,1795,10864,14523,3,170,328,1891,4262,4472,4561,3241,6453,21,0,0,0,120,587,736,472,1803,2285,2365
28/06/2020,25414,3295,434,8338,1429,20,17,69,197,269,439,486,1797,10871,14540,3,171,328,1894,4267,4475,4564,3243,6460,43,0,0,0,121,588,737,472,1805,2289,2366
29/06/2020,25425,3296,434,8342,1687,20,17,69,197,269,439,486,1798,10877,14545,3,171,329,1896,4271,4477,4565,3243,6461,27,0,0,0,122,588,738,472,1805,2290,2366
30/06/2020,25431,3297,434,8345,1687,20,17,69,198,269,439,486,1798,10877,14551,3,171,329,1896,4272,4478,4566,3244,6463,51,0,0,0,123,588,738,472,1805,2290,2368
01/07/2020,25446,3298,435,8348,1772,20,17,69,198,269,439,486,1799,10885,14558,3,171,329,1900,4277,4479,4569,3245,6464,32,0,0,0,124,588,739,472,1805,2291,2368
02/07/2020,25455,3300,435,8349,1809,21,18,69,198,269,439,486,1799,10892,14560,3,173,330,1900,4281,4480,4569,3246,6464,26,0,0,0,125,588,739,472,1805,2291,2368
03/07/2020,25466,3300,435,8351,1823,21,18,69,198,269,439,486,1799,10900,14563,3,174,330,1900,4283,4483,4573,3247,6464,43,0,0,0,126,588,739,472,1805,2291,2368
04/07/2020,25483,3301,436,8358,1823,21,18,69,198,269,440,486,1799,10909,14571,3,175,331,1901,4285,4488,4576,3249,6466,41,0,0,0,127,588,739,472,1805,2293,2368
05/07/2020,25486,3301,436,8360,1827,21,18,69,198,269,440,486,1799,10909,14574,3,175,331,1901,4286,4489,4576,3250,6466,39,0,0,0,128,588,739,472,1805,2293,2368
06/07/2020,25510,3302,436,8373,1860,21,18,69,198,270,440,486,1799,10918,14589,3,176,331,1904,4291,4497,4578,3253,6468,38,0,0,0,129,588,739,472,1806,2294,2368
07/07/2020,25521,3303,436,8379,1884,22,18,69,198,270,440,486,1799,10922,14596,3,177,331,1907,4293,4498,4580,3254,6469,29,0,0,0,130,588,739,472,1806,2294,2369
08/07/2020,25544,3303,436,8382,1896,22,18,69,198,270,440,486,1799,10932,14609,3,178,333,1921,4296,4500,4580,3254,6470,23,0,0,0,131,588,739,472,1806,2295,2369
09/07/2020,25569,3304,436,8385,1920,22,18,69,198,271,440,486,1799,10942,14624,3,178,337,1932,4298,4505,4582,3254,6471,24,0,0,0,132,588,739,472,1807,2295,2369
10/07/2020,25592,3304,436,8388,1935,22,18,69,198,271,440,486,1799,10951,14638,3,179,338,1938,4303,4510,4585,3254,6473,31,0,0,0,133,588,739,472,1809,2295,2369
11/07/2020,25609,3304,436,8397,1935,22,18,69,198,271,440,486,1799,10958,14648,3,179,338,1939,4314,4512,4586,3255,6474,29,0,0,0,134,588,739,472,1810,2295,2369
12/07/2020,25620,3305,436,8402,1933,22,18,70,198,271,440,486,1799,10962,14655,3,179,338,1941,4317,4512,4588,3257,6476,47,0,0,0,135,588,739,472,1811,2296,2369
13/07/2020,25652,3309,437,8420,1976,22,18,70,198,271,440,488,1801,10973,14676,3,179,338,1943,4324,4517,4596,3262,6481,45,0,0,0,136,588,740,473,1812,2298,2371
14/07/2020,25665,3311,437,8426,2019,22,18,70,198,271,440,489,1802,10980,14682,3,179,338,1945,4328,4518,4600,3263,6482,38,0,0,0,137,589,740,473,1813,2298,2371
15/07/2020,25687,3312,437,8429,2101,22,18,70,198,271,441,489,1802,10992,14692,3,180,338,1947,4337,4522,4602,3263,6486,33,0,0,0,138,589,740,473,1816,2299,2371
16/07/2020,25720,3313,437,8433,2110,22,18,71,198,271,441,489,1802,11010,14707,3,183,339,1954,4345,4527,4604,3264,6491,32,0,0,0,139,589,740,473,1821,2299,2371
17/07/2020,25739,3313,437,8438,2146,22,18,71,198,271,441,489,1802,11019,14717,3,183,339,1958,4350,4528,4607,3266,6495,33,0,0,0,140,589,740,473,1824,2299,2372
18/07/2020,25748,3314,437,8441,2146,22,18,71,198,271,441,489,1803,11023,14722,3,183,339,1959,4352,4532,4607,3267,6496,36,0,0,0,141,589,741,473,1824,2300,2372
19/07/2020,25754,3314,437,8443,2146,22,18,71,198,271,441,489,1803,11025,14726,3,183,340,1959,4352,4534,4609,3268,6496,40,0,0,0,142,589,741,473,1824,2300,2372
20/07/2020,25788,3315,437,8450,2153,22,18,71,198,272,441,489,1803,11051,14734,3,183,341,1964,4358,4538,4620,3273,6498,46,0,0,0,143,589,741,473,1825,2301,2372
21/07/2020,25804,3316,437,8458,2226,22,18,72,198,272,441,489,1803,11058,14743,3,184,341,1965,4361,4541,4623,3274,6502,45,0,0,0,144,589,741,473,1826,2302,2374
22/07/2020,25811,3317,437,8460,2264,22,18,72,198,272,442,489,1803,11061,14747,3,184,341,1966,4363,4542,4624,3274,6504,48,0,0,0,145,589,741,473,1828,2302,2374
23/07/2020,25831,3318,437,8462,2274,22,18,72,198,272,442,490,1803,11070,14758,3,185,343,1969,4370,4546,4624,3275,6506,31,0,0,0,146,589,741,473,1830,2302,2374
24/07/2020,25854,3318,437,8469,2282,22,18,72,198,272,442,490,1803,11081,14770,3,186,343,1972,4376,4554,4629,3275,6506,36,0,0,0,147,589,741,473,1830,2302,2374
25/07/2020,25866,3320,437,8472,2282,23,18,73,198,272,442,490,1803,11086,14777,3,188,343,1975,4382,4554,4629,3276,6506,26,0,0,0,148,589,741,473,1830,2302,2374
26/07/2020,25876,3320,437,8474,2282,23,18,73,198,272,442,490,1803,11093,14780,3,188,344,1976,4384,4556,4631,3277,6507,37,0,0,0,149,589,741,473,1831,2302,2374
27/07/2020,25915,3322,438,8478,2291,23,18,73,198,272,442,492,1803,11113,14799,3,189,347,1983,4395,4563,4636,3280,6509,33,0,0,0,150,589,741,473,1832,2303,2374
28/07/2020,25929,3323,438,8480,2303,24,18,73,198,272,442,492,1803,11116,14810,3,191,348,1984,4403,4563,4636,3281,6510,29,0,0,0,151,589,741,473,1833,2303,2374
29/07/2020,26013,3324,438,8483,2307,24,18,73,198,273,442,492,1803,11169,14841,3,198,356,2003,4418,4572,4652,3286,6515,29,0,0,0,152,589,741,473,1835,2304,2376
30/07/2020,26053,3324,438,8484,2313,24,18,73,198,273,442,492,1803,11192,14858,3,198,358,2013,4431,4578,4658,3287,6517,31,0,0,0,153,589,741,473,1836,2304,2377
31/07/2020,26096,3326,438,8487,2318,24,18,73,199,273,443,492,1803,11212,14881,3,200,363,2019,4440,4588,4665,3289,6519,34,0,0,0,154,589,741,473,1837,2305,2377
01/08/2020,26149,3327,438,8492,2319,24,18,73,199,273,443,493,1803,11239,14907,3,206,369,2028,4452,4597,4669,3291,6524,30,0,0,0,155,589,741,473,1840,2307,2377
02/08/2020,26194,3329,438,8493,2321,24,18,73,200,273,443,493,1804,11266,14925,3,208,373,2036,4471,4602,4673,3293,6525,28,0,0,0,156,590,741,473,1841,2307,2377
03/08/2020,26238,3329,438,8494,2323,24,18,73,200,273,443,493,1804,11300,14935,3,209,373,2043,4488,4611,4680,3296,6525,32,0,0,0,157,590,741,473,1841,2307,2377
04/08/2020,26285,3330,438,8496,2326,24,18,73,200,273,444,493,1804,11329,14953,3,214,378,2054,4498,4618,4685,3298,6527,29,0,0,0,158,590,741,473,1841,2308,2378
05/08/2020,26355,3332,439,8497,2331,24,18,73,200,273,444,493,1806,11362,14990,3,216,382,2061,4518,4631,4702,3302,6530,36,0,0,0,159,591,742,473,1843,2309,2378
06/08/2020,26452,3335,440,8500,2331,24,18,73,200,274,445,493,1807,11420,15029,3,218,384,2075,4541,4656,4722,3310,6533,38,0,0,0,160,591,743,473,1845,2310,2378
07/08/2020,26622,3338,441,8506,2332,24,18,73,203,274,445,493,1807,11542,15077,3,222,390,2099,4589,4694,4746,3327,6542,35,0,0,0,161,591,743,473,1853,2311,2378
08/08/2020,26689,3338,441,8508,2336,24,18,73,203,274,445,493,1807,11578,15108,3,226,396,2110,4607,4710,4751,3332,6544,30,0,0,0,162,591,743,473,1855,2311,2378
09/08/2020,26746,3339,441,8511,2334,24,18,73,203,274,445,493,1808,11607,15136,3,228,400,2125,4619,4718,4760,3338,6545,30,0,0,0,163,592,743,473,1856,2311,2378
